Drug Name,Price,Instruction of Usage
Amoxicillin,12568,Take one tablet before bedtime.
Gabapentin,6122,Take one tablet three times a day.
Levothyroxine,31329,Take one tablet every morning.
Amoxicillin,23689,Take one tablet every 6 hours.
Metoprolol,48055,Take one tablet twice daily.
Amlodipine,10811,Take one tablet daily.
Amoxicillin,20374,Take one tablet three times a day.
Lisinopril,21676,Take one tablet daily.
Azithromycin,37855,Take one tablet every 6 hours.
Azithromycin,25352,Take one tablet three times a day.
Azithromycin,40137,Take one tablet twice daily.
Cetirizine,30519,Take one tablet every morning.
Gabapentin,21769,Take one tablet daily.
Ibuprofen,28908,Take one tablet with water.
Montelukast,8731,Take one tablet twice daily.
Lisinopril,11144,Take one tablet twice daily.
Tamsulosin,30457,Take one tablet every 8 hours for 7 days.
Gabapentin,49879,Take one tablet every 8 hours for 7 days.
Amlodipine,9645,Take one tablet three times a day.
Simvastatin,14951,Take one tablet every morning.
Montelukast,21026,Take one tablet before meals.
Simvastatin,9294,Take one tablet every 8 hours for 7 days.
Ibuprofen,10252,Take one tablet before meals.
Hydrochlorothiazide,26930,Take one tablet every 6 hours.
Gabapentin,42702,Take one tablet every 8 hours for 7 days.
Gabapentin,12401,Take one tablet before bedtime.
Metformin,21373,Take one tablet before bedtime.
Metoprolol,10532,Take one tablet with water.
Montelukast,32653,Take one tablet with water.
Lisinopril,45246,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,40911,Take one tablet daily.
Losartan,49641,Take one tablet with water.
Metoprolol,24845,Take one tablet every 4-6 hours.
Omeprazole,28138,Take one tablet before bedtime.
Amlodipine,16591,Take one tablet every 4-6 hours.
Furosemide,12986,Take one tablet every 6 hours.
Gabapentin,13823,Take one tablet before meals.
Hydrochlorothiazide,8782,Take one tablet every 8 hours for 7 days.
Amoxicillin,43359,Take one tablet before meals.
Amoxicillin,25074,Take one tablet every 8 hours for 7 days.
Gabapentin,21617,Take one tablet twice daily.
Furosemide,7936,Take one tablet every 8 hours for 7 days.
Simvastatin,35936,Take one tablet twice daily.
Atorvastatin,36250,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,40725,Take one tablet before meals.
Omeprazole,47128,Take one tablet every 4-6 hours.
Metoprolol,16609,Take one tablet before bedtime.
Amlodipine,33433,Take one tablet with water.
Lisinopril,46897,Take one tablet twice daily.
Sertraline,30481,Take one tablet twice daily.
Sertraline,18863,Take one tablet three times a day.
Paracetamol,8693,Take one tablet before bedtime.
Azithromycin,10379,Take one tablet before bedtime.
Paracetamol,41313,Take one tablet twice daily.
Losartan,45738,Take one tablet with water.
Azithromycin,27621,Take one tablet three times a day.
Amlodipine,29375,Take one tablet daily.
Amoxicillin,32212,Take one tablet twice daily.
Levothyroxine,26913,Take one tablet three times a day.
Amlodipine,11531,Take one tablet with water.
Tamsulosin,24903,Take one tablet twice daily.
Cetirizine,32332,Take one tablet every 4-6 hours.
Omeprazole,35248,Take one tablet before meals.
Azithromycin,18145,Take one tablet every 6 hours.
Lisinopril,32245,Take one tablet before bedtime.
Montelukast,7298,Take one tablet twice daily.
Omeprazole,45243,Take one tablet daily.
Atorvastatin,47289,Take one tablet before bedtime.
Sertraline,46526,Take one tablet every 4-6 hours.
Gabapentin,42339,Take one tablet twice daily.
Metformin,46839,Take one tablet three times a day.
Atorvastatin,30438,Take one tablet daily.
Metformin,43682,Take one tablet twice daily.
Metformin,6565,Take one tablet daily.
Cetirizine,36866,Take one tablet every morning.
Metformin,26257,Take one tablet every 8 hours for 7 days.
Furosemide,40142,Take one tablet daily.
Montelukast,37001,Take one tablet before meals.
Lisinopril,11466,Take one tablet daily.
Levothyroxine,17181,Take one tablet before bedtime.
Cetirizine,41646,Take one tablet every morning.
Metformin,42092,Take one tablet every morning.
Gabapentin,44665,Take one tablet before bedtime.
Hydrochlorothiazide,26337,Take one tablet every 8 hours for 7 days.
Montelukast,18380,Take one tablet every 8 hours for 7 days.
Montelukast,48233,Take one tablet with water.
Paracetamol,29216,Take one tablet before bedtime.
Amlodipine,12290,Take one tablet every 8 hours for 7 days.
Montelukast,48183,Take one tablet with water.
Metformin,24892,Take one tablet before bedtime.
Sertraline,18351,Take one tablet every 4-6 hours.
Lisinopril,19890,Take one tablet twice daily.
Levothyroxine,49463,Take one tablet every 6 hours.
Furosemide,31530,Take one tablet every 8 hours for 7 days.
Cetirizine,22236,Take one tablet every 6 hours.
Simvastatin,39099,Take one tablet every 8 hours for 7 days.
Paracetamol,38053,Take one tablet every 6 hours.
Omeprazole,5597,Take one tablet every 4-6 hours.
Sertraline,8305,Take one tablet daily.
Lisinopril,7009,Take one tablet every morning.
Paracetamol,39420,Take one tablet every 8 hours for 7 days.
Hydrochlorothiazide,36647,Take one tablet every 8 hours for 7 days.
Gabapentin,5353,Take one tablet every 6 hours.
Hydrochlorothiazide,28324,Take one tablet every 8 hours for 7 days.
Azithromycin,7031,Take one tablet with water.
