Pharmacy Name,Address,City,Region,Phone Number,Operational Hours
Pharmacy 1,1 Main St,Fergana,Samarkand,+998900000000,8:00-22:00
Pharmacy 2,2 Main St,Nukus,Bukhara,+998900000001,24/7
Pharmacy 3,3 Main St,Fergana,Samarkand,+998900000002,9:00-21:00
Pharmacy 4,4 Main St,Tashkent,Fergana,+998900000003,10:00-20:00
Pharmacy 5,5 Main St,Namangan,Karakalpakstan,+998900000004,8:00-22:00
Pharmacy 6,6 Main St,Nukus,Samarkand,+998900000005,24/7
Pharmacy 7,7 Main St,Bukhara,Namangan,+998900000006,10:00-20:00
Pharmacy 8,8 Main St,Nukus,Namangan,+998900000007,10:00-20:00
Pharmacy 9,9 Main St,Nukus,Bukhara,+998900000008,24/7
Pharmacy 10,10 Main St,Namangan,Bukhara,+998900000009,9:00-21:00
Pharmacy 11,11 Main St,Bukhara,Bukhara,+998900000010,8:00-22:00
Pharmacy 12,12 Main St,Fergana,Karakalpakstan,+998900000011,9:00-21:00
Pharmacy 13,13 Main St,Samarkand,Namangan,+998900000012,9:00-21:00
Pharmacy 14,14 Main St,Namangan,Bukhara,+998900000013,9:00-21:00
Pharmacy 15,15 Main St,Nukus,Andijan,+998900000014,9:00-21:00
Pharmacy 16,16 Main St,Tashkent,Tashkent,+998900000015,8:00-22:00
Pharmacy 17,17 Main St,Tashkent,Andijan,+998900000016,8:00-22:00
Pharmacy 18,18 Main St,Fergana,Bukhara,+998900000017,9:00-21:00
Pharmacy 19,19 Main St,Tashkent,Tashkent,+998900000018,10:00-20:00
Pharmacy 20,20 Main St,Bukhara,Tashkent,+998900000019,24/7
Pharmacy 21,21 Main St,Andijan,Samarkand,+998900000020,24/7
Pharmacy 22,22 Main St,Fergana,Karakalpakstan,+998900000021,24/7
Pharmacy 23,23 Main St,Andijan,Bukhara,+998900000022,10:00-20:00
Pharmacy 24,24 Main St,Samarkand,Fergana,+998900000023,9:00-21:00
Pharmacy 25,25 Main St,Tashkent,Bukhara,+998900000024,9:00-21:00
Pharmacy 26,26 Main St,Namangan,Samarkand,+998900000025,8:00-22:00
Pharmacy 27,27 Main St,Namangan,Tashkent,+998900000026,9:00-21:00
Pharmacy 28,28 Main St,Tashkent,Fergana,+998900000027,10:00-20:00
Pharmacy 29,29 Main St,Nukus,Fergana,+998900000028,8:00-22:00
Pharmacy 30,30 Main St,Samarkand,Samarkand,+998900000029,9:00-21:00
Pharmacy 31,31 Main St,Fergana,Tashkent,+998900000030,8:00-22:00
Pharmacy 32,32 Main St,Namangan,Bukhara,+998900000031,24/7
Pharmacy 33,33 Main St,Andijan,Andijan,+998900000032,10:00-20:00
Pharmacy 34,34 Main St,Andijan,Fergana,+998900000033,8:00-22:00
Pharmacy 35,35 Main St,Nukus,Andijan,+998900000034,9:00-21:00
Pharmacy 36,36 Main St,Andijan,Bukhara,+998900000035,8:00-22:00
Pharmacy 37,37 Main St,Tashkent,Karakalpakstan,+998900000036,10:00-20:00
Pharmacy 38,38 Main St,Namangan,Samarkand,+998900000037,9:00-21:00
Pharmacy 39,39 Main St,Bukhara,Namangan,+998900000038,9:00-21:00
Pharmacy 40,40 Main St,Fergana,Samarkand,+998900000039,10:00-20:00
Pharmacy 41,41 Main St,Namangan,Karakalpakstan,+998900000040,10:00-20:00
Pharmacy 42,42 Main St,Bukhara,Samarkand,+998900000041,24/7
Pharmacy 43,43 Main St,Namangan,Tashkent,+998900000042,9:00-21:00
Pharmacy 44,44 Main St,Tashkent,Fergana,+998900000043,9:00-21:00
Pharmacy 45,45 Main St,Namangan,Bukhara,+998900000044,9:00-21:00
Pharmacy 46,46 Main St,Nukus,Namangan,+998900000045,8:00-22:00
Pharmacy 47,47 Main St,Fergana,Samarkand,+998900000046,8:00-22:00
Pharmacy 48,48 Main St,Samarkand,Namangan,+998900000047,8:00-22:00
Pharmacy 49,49 Main St,Namangan,Tashkent,+998900000048,24/7
Pharmacy 50,50 Main St,Andijan,Samarkand,+998900000049,9:00-21:00
Pharmacy 51,51 Main St,Fergana,Bukhara,+998900000050,8:00-22:00
Pharmacy 52,52 Main St,Nukus,Bukhara,+998900000051,8:00-22:00
Pharmacy 53,53 Main St,Namangan,Karakalpakstan,+998900000052,8:00-22:00
Pharmacy 54,54 Main St,Andijan,Samarkand,+998900000053,9:00-21:00
Pharmacy 55,55 Main St,Samarkand,Namangan,+998900000054,9:00-21:00
Pharmacy 56,56 Main St,Nukus,Fergana,+998900000055,10:00-20:00
Pharmacy 57,57 Main St,Bukhara,Samarkand,+998900000056,9:00-21:00
Pharmacy 58,58 Main St,Bukhara,Samarkand,+998900000057,24/7
Pharmacy 59,59 Main St,Samarkand,Fergana,+998900000058,8:00-22:00
Pharmacy 60,60 Main St,Tashkent,Bukhara,+998900000059,10:00-20:00
Pharmacy 61,61 Main St,Nukus,Bukhara,+998900000060,8:00-22:00
Pharmacy 62,62 Main St,Fergana,Samarkand,+998900000061,8:00-22:00
Pharmacy 63,63 Main St,Tashkent,Andijan,+998900000062,24/7
Pharmacy 64,64 Main St,Nukus,Tashkent,+998900000063,8:00-22:00
Pharmacy 65,65 Main St,Tashkent,Namangan,+998900000064,8:00-22:00
Pharmacy 66,66 Main St,Samarkand,Samarkand,+998900000065,24/7
Pharmacy 67,67 Main St,Namangan,Andijan,+998900000066,24/7
Pharmacy 68,68 Main St,Fergana,Karakalpakstan,+998900000067,10:00-20:00
Pharmacy 69,69 Main St,Fergana,Tashkent,+998900000068,9:00-21:00
Pharmacy 70,70 Main St,Bukhara,Andijan,+998900000069,10:00-20:00
Pharmacy 71,71 Main St,Namangan,Namangan,+998900000070,24/7
Pharmacy 72,72 Main St,Tashkent,Andijan,+998900000071,9:00-21:00
Pharmacy 73,73 Main St,Samarkand,Tashkent,+998900000072,9:00-21:00
Pharmacy 74,74 Main St,Nukus,Andijan,+998900000073,10:00-20:00
Pharmacy 75,75 Main St,Andijan,Namangan,+998900000074,24/7
Pharmacy 76,76 Main St,Fergana,Karakalpakstan,+998900000075,24/7
Pharmacy 77,77 Main St,Namangan,Andijan,+998900000076,10:00-20:00
Pharmacy 78,78 Main St,Andijan,Fergana,+998900000077,24/7
Pharmacy 79,79 Main St,Samarkand,Namangan,+998900000078,10:00-20:00
Pharmacy 80,80 Main St,Bukhara,Andijan,+998900000079,24/7
Pharmacy 81,81 Main St,Fergana,Fergana,+998900000080,24/7
Pharmacy 82,82 Main St,Namangan,Fergana,+998900000081,8:00-22:00
Pharmacy 83,83 Main St,Fergana,Tashkent,+998900000082,8:00-22:00
Pharmacy 84,84 Main St,Nukus,Fergana,+998900000083,10:00-20:00
Pharmacy 85,85 Main St,Samarkand,Namangan,+998900000084,8:00-22:00
Pharmacy 86,86 Main St,Namangan,Tashkent,+998900000085,10:00-20:00
Pharmacy 87,87 Main St,Fergana,Bukhara,+998900000086,24/7
Pharmacy 88,88 Main St,Tashkent,Karakalpakstan,+998900000087,10:00-20:00
Pharmacy 89,89 Main St,Samarkand,Fergana,+998900000088,8:00-22:00
Pharmacy 90,90 Main St,Andijan,Fergana,+998900000089,24/7
Pharmacy 91,91 Main St,Samarkand,Andijan,+998900000090,24/7
Pharmacy 92,92 Main St,Tashkent,Bukhara,+998900000091,8:00-22:00
Pharmacy 93,93 Main St,Fergana,Fergana,+998900000092,9:00-21:00
Pharmacy 94,94 Main St,Samarkand,Andijan,+998900000093,24/7
Pharmacy 95,95 Main St,Fergana,Fergana,+998900000094,10:00-20:00
Pharmacy 96,96 Main St,Tashkent,Bukhara,+998900000095,10:00-20:00
Pharmacy 97,97 Main St,Tashkent,Namangan,+998900000096,9:00-21:00
Pharmacy 98,98 Main St,Samarkand,Fergana,+998900000097,10:00-20:00
Pharmacy 99,99 Main St,Namangan,Bukhara,+998900000098,8:00-22:00
Pharmacy 100,100 Main St,Fergana,Samarkand,+998900000099,8:00-22:00
Pharmacy 101,101 Main St,Andijan,Tashkent,+998900000100,24/7
Pharmacy 102,102 Main St,Andijan,Tashkent,+998900000101,10:00-20:00
Pharmacy 103,103 Main St,Bukhara,Andijan,+998900000102,10:00-20:00
Pharmacy 104,104 Main St,Andijan,Namangan,+998900000103,8:00-22:00
Pharmacy 105,105 Main St,Samarkand,Fergana,+998900000104,8:00-22:00
Pharmacy 106,106 Main St,Bukhara,Samarkand,+998900000105,8:00-22:00
Pharmacy 107,107 Main St,Namangan,Fergana,+998900000106,24/7
Pharmacy 108,108 Main St,Nukus,Bukhara,+998900000107,8:00-22:00
Pharmacy 109,109 Main St,Namangan,Fergana,+998900000108,24/7
Pharmacy 110,110 Main St,Andijan,Bukhara,+998900000109,24/7
Pharmacy 111,111 Main St,Andijan,Andijan,+998900000110,10:00-20:00
